Mouse.Entrez,MGI.ID,Description
18992,101895,POU domain class 3 transcription factor 2 [Source:MGI Symbol;Acc:MGI:101895]
18991,101896,POU domain class 3 transcription factor 1 [Source:MGI Symbol;Acc:MGI:101896]
18987,101897,POU domain class 2 transcription factor 2 [Source:MGI Symbol;Acc:MGI:101897]
18986,101898,POU domain class 2 transcription factor 1 [Source:MGI Symbol;Acc:MGI:101898]
18784,101899,phospholipase A2 group V [Source:MGI Symbol;Acc:MGI:101899]
17387,101900,matrix metallopeptidase 14 (membrane-inserted) [Source:MGI Symbol;Acc:MGI:101900]
16638,101901,killer cell lectin-like receptor subfamily A member 7 [Source:MGI Symbol;Acc:MGI:101901]
100862438,101901,killer cell lectin-like receptor subfamily A member 7 [Source:MGI Symbol;Acc:MGI:101901]
16637,101902,killer cell lectin-like receptor subfamily A member 6 [Source:MGI Symbol;Acc:MGI:101902]
93971,101902,killer cell lectin-like receptor subfamily A member 6 [Source:MGI Symbol;Acc:MGI:101902]
16636,101903,killer cell lectin-like receptor subfamily A member 5 [Source:MGI Symbol;Acc:MGI:101903]
16635,101904,killer cell lectin-like receptor subfamily A member 4 [Source:MGI Symbol;Acc:MGI:101904]
93970,101904,killer cell lectin-like receptor subfamily A member 4 [Source:MGI Symbol;Acc:MGI:101904]
16634,101905,killer cell lectin-like receptor subfamily A member 3 [Source:MGI Symbol;Acc:MGI:101905]
16633,101906,killer cell lectin-like receptor subfamily A member 2 [Source:MGI Symbol;Acc:MGI:101906]
16627,101907,killer cell lectin-like receptor subfamily A member 1 [Source:MGI Symbol;Acc:MGI:101907]
27423,101907,killer cell lectin-like receptor subfamily A member 1 [Source:MGI Symbol;Acc:MGI:101907]
93969,101907,killer cell lectin-like receptor subfamily A member 1 [Source:MGI Symbol;Acc:MGI:101907]
105247445,101907,killer cell lectin-like receptor subfamily A member 1 [Source:MGI Symbol;Acc:MGI:101907]
14748,101908,G-protein coupled receptor 3 [Source:MGI Symbol;Acc:MGI:101908]
14738,101909,G-protein coupled receptor 12 [Source:MGI Symbol;Acc:MGI:101909]
14063,101910,coagulation factor II (thrombin) receptor-like 1 [Source:MGI Symbol;Acc:MGI:101910]
13537,101911,dual specificity phosphatase 2 [Source:MGI Symbol;Acc:MGI:101911]
13135,101912,defender against cell death 1 [Source:MGI Symbol;Acc:MGI:101912]
12663,101913,choroideremia-like [Source:MGI Symbol;Acc:MGI:101913]
12308,101914,calbindin 2 [Source:MGI Symbol;Acc:MGI:101914]
12140,101916,fatty acid binding protein 7 brain [Source:MGI Symbol;Acc:MGI:101916]
12033,101917,B cell receptor associated protein 29 [Source:MGI Symbol;Acc:MGI:101917]
11997,101918,aldo-keto reductase family 1 member B7 [Source:MGI Symbol;Acc:MGI:101918]
11765,101919,adaptor protein complex AP-1 gamma 1 subunit [Source:MGI Symbol;Acc:MGI:101919]
11772,101920,adaptor-related protein complex 2 alpha 2 subunit [Source:MGI Symbol;Acc:MGI:101920]
11771,101921,adaptor-related protein complex 2 alpha 1 subunit [Source:MGI Symbol;Acc:MGI:101921]
21923,101922,tenascin C [Source:MGI Symbol;Acc:MGI:101922]
20496,101924,solute carrier family 12 member 2 [Source:MGI Symbol;Acc:MGI:101924]
16663,101925,keratin 13 [Source:MGI Symbol;Acc:MGI:101925]
13395,101926,distal-less homeobox 5 [Source:MGI Symbol;Acc:MGI:101926]
13396,101927,distal-less homeobox 6 [Source:MGI Symbol;Acc:MGI:101927]
20511,101931,solute carrier family 1 (glial high affinity glutamate transporter) member 2 [Source:MGI Symbol;Acc:MGI:101931]
12876,101932,carboxypeptidase E [Source:MGI Symbol;Acc:MGI:101932]
21781,101934,transcription factor Dp 1 [Source:MGI Symbol;Acc:MGI:101934]
18768,101937,protein kinase inhibitor beta cAMP dependent testis specific [Source:MGI Symbol;Acc:MGI:101937]
17350,101938,mutL homolog 1 (E. coli) [Source:MGI Symbol;Acc:MGI:101938]
15360,101939,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2 [Source:MGI Symbol;Acc:MGI:101939]
11857,101940,Rho GDP dissociation inhibitor (GDI) beta [Source:MGI Symbol;Acc:MGI:101940]
13555,101941,E2F transcription factor 1 [Source:MGI Symbol;Acc:MGI:101941]
12352,101946,carbonic anhydrase 5a mitochondrial [Source:MGI Symbol;Acc:MGI:101946]
11991,101947,heterogeneous nuclear ribonucleoprotein D [Source:MGI Symbol;Acc:MGI:101947]
22411,101948,wingless-type MMTV integration site family member 11 [Source:MGI Symbol;Acc:MGI:101948]
19365,101949,RAD52 homolog (S. cerevisiae) [Source:MGI Symbol;Acc:MGI:101949]
12311,101950,calcitonin receptor [Source:MGI Symbol;Acc:MGI:101950]
20544,102462,solute carrier family 9 (sodium/hydrogen exchanger) member 1 [Source:MGI Symbol;Acc:MGI:102462]
18019,102463,nuclear factor of activated T cells cytoplasmic calcineurin dependent 2 [Source:MGI Symbol;Acc:MGI:102463]
21763,102465,testis expressed gene 2 [Source:MGI Symbol;Acc:MGI:102465]
19250,102467,protein tyrosine phosphatase non-receptor type 14 [Source:MGI Symbol;Acc:MGI:102467]
18779,102468,phospholipase A2 receptor 1 [Source:MGI Symbol;Acc:MGI:102468]
18018,102469,nuclear factor of activated T cells cytoplasmic calcineurin dependent 1 [Source:MGI Symbol;Acc:MGI:102469]
17722,102495,mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495]
17721,102496,mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496]
17720,102497,mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497]
17719,102498,mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498]
17718,102499,mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499]
17717,102500,mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500]
17711,102501,mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501]
17710,102502,mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502]
17709,102503,mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503]
17708,102504,mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504]
13226,102509,defensin alpha related sequence 7 [Source:MGI Symbol;Acc:MGI:102509]
100294660,102509,defensin alpha related sequence 7 [Source:MGI Symbol;Acc:MGI:102509]
11497,102518,a disintegrin and metallopeptidase domain 3 (cyritestin) [Source:MGI Symbol;Acc:MGI:102518]
13010,102519,cystatin C [Source:MGI Symbol;Acc:MGI:102519]
12034,102520,prohibitin 2 [Source:MGI Symbol;Acc:MGI:102520]
12295,102522,calcium channel voltage-dependent beta 1 subunit [Source:MGI Symbol;Acc:MGI:102522]
18998,102523,POU domain class 4 transcription factor 3 [Source:MGI Symbol;Acc:MGI:102523]
18997,102524,POU domain class 4 transcription factor 2 [Source:MGI Symbol;Acc:MGI:102524]
18996,102525,POU domain class 4 transcription factor 1 [Source:MGI Symbol;Acc:MGI:102525]
17962,102537,N-acetyltransferase 3 [Source:MGI Symbol;Acc:MGI:102537]
21389,102539,T-box 6 [Source:MGI Symbol;Acc:MGI:102539]
21388,102541,T-box 5 [Source:MGI Symbol;Acc:MGI:102541]
14109,102547,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived) [Source:MGI Symbol;Acc:MGI:102547]
22084,102548,tuberous sclerosis 2 [Source:MGI Symbol;Acc:MGI:102548]
12449,102551,cyclin F [Source:MGI Symbol;Acc:MGI:102551]
11572,102552,cysteine-rich secretory protein 3 [Source:MGI Symbol;Acc:MGI:102552]
11571,102553,cysteine-rich secretory protein 1 [Source:MGI Symbol;Acc:MGI:102553]
21387,102556,T-box 4 [Source:MGI Symbol;Acc:MGI:102556]
13190,102563,dopachrome tautomerase [Source:MGI Symbol;Acc:MGI:102563]
18993,102564,POU domain class 3 transcription factor 3 [Source:MGI Symbol;Acc:MGI:102564]
18988,102565,POU domain class 2 transcription factor 3 [Source:MGI Symbol;Acc:MGI:102565]
18185,102567,neural retina leucine zipper gene [Source:MGI Symbol;Acc:MGI:102567]
17986,102570,Norrie disease (pseudoglioma) (human) [Source:MGI Symbol;Acc:MGI:102570]
18107,102579,N-myristoyltransferase 1 [Source:MGI Symbol;Acc:MGI:102579]
17252,102581,retinol dehydrogenase 11 [Source:MGI Symbol;Acc:MGI:102581]
17880,102643,myosin heavy polypeptide 11 smooth muscle [Source:MGI Symbol;Acc:MGI:102643]
216150,102657,cell division cycle 34 [Source:MGI Symbol;Acc:MGI:102657]
16508,102663,potassium voltage-gated channel Shal-related family member 2 [Source:MGI Symbol;Acc:MGI:102663]
19060,102666,protein phosphatase 5 catalytic subunit [Source:MGI Symbol;Acc:MGI:102666]
18857,102667,peripheral myelin protein 2 [Source:MGI Symbol;Acc:MGI:102667]
16821,102668,lipocalin 4 [Source:MGI Symbol;Acc:MGI:102668]
16820,102669,lipocalin 3 [Source:MGI Symbol;Acc:MGI:102669]
13206,102670,DEAD (Asp-Glu-Ala-Asp) box polypeptide 4 [Source:MGI Symbol;Acc:MGI:102670]
12399,102672,runt related transcription factor 3 [Source:MGI Symbol;Acc:MGI:102672]
16871,102673,LIM homeobox protein 3 [Source:MGI Symbol;Acc:MGI:102673]
22242,102674,uromodulin [Source:MGI Symbol;Acc:MGI:102674]
12971,102675,crystallin mu [Source:MGI Symbol;Acc:MGI:102675]
17250,102676,ATP-binding cassette sub-family C (CFTR/MRP) member 1 [Source:MGI Symbol;Acc:MGI:102676]
16897,102682,lethal giant larvae homolog 1 (Drosophila) [Source:MGI Symbol;Acc:MGI:102682]
14786,102683,growth factor receptor bound protein 7 [Source:MGI Symbol;Acc:MGI:102683]
217232,102685,cell division cycle 27 [Source:MGI Symbol;Acc:MGI:102685]
12044,102687,B cell leukemia/lymphoma 2 related protein A1a [Source:MGI Symbol;Acc:MGI:102687]
15270,102688,H2A histone family member X [Source:MGI Symbol;Acc:MGI:102688]
20810,102690,spermidine synthase [Source:MGI Symbol;Acc:MGI:102690]
19274,102694,protein tyrosine phosphatase receptor type M [Source:MGI Symbol;Acc:MGI:102694]
19268,102695,protein tyrosine phosphatase receptor type F [Source:MGI Symbol;Acc:MGI:102695]
18716,102696,prolactin induced protein [Source:MGI Symbol;Acc:MGI:102696]
18328,102697,olfactory receptor 3 [Source:MGI Symbol;Acc:MGI:102697]
258923,102698,olfactory receptor 1 [Source:MGI Symbol;Acc:MGI:102698]
17763,102699,mature T cell proliferation 1 [Source:MGI Symbol;Acc:MGI:102699]
17763,102699,mature T cell proliferation 1 [Source:MGI Symbol;Acc:MGI:102699]
16404,102700,integrin alpha 7 [Source:MGI Symbol;Acc:MGI:102700]
14728,102701,leukocyte immunoglobulin-like receptor subfamily B member 4 [Source:MGI Symbol;Acc:MGI:102701]
14727,102702,glycoprotein 49 A [Source:MGI Symbol;Acc:MGI:102702]
14706,102703,guanine nucleotide binding protein (G protein) gamma 4 [Source:MGI Symbol;Acc:MGI:102703]
14704,102704,guanine nucleotide binding protein (G protein) gamma 3 [Source:MGI Symbol;Acc:MGI:102704]
14702,102705,guanine nucleotide binding protein (G protein) gamma 2 [Source:MGI Symbol;Acc:MGI:102705]
14137,102706,farnesyl diphosphate farnesyl transferase 1 [Source:MGI Symbol;Acc:MGI:102706]
13637,102707,ephrin A2 [Source:MGI Symbol;Acc:MGI:102707]
13641,102708,ephrin B1 [Source:MGI Symbol;Acc:MGI:102708]
12389,102709,caveolin 1 caveolae protein [Source:MGI Symbol;Acc:MGI:102709]
12959,102716,crystallin beta A4 [Source:MGI Symbol;Acc:MGI:102716]
12962,102717,crystallin beta B3 [Source:MGI Symbol;Acc:MGI:102717]
22325,102718,vav 2 oncogene [Source:MGI Symbol;Acc:MGI:102718]
13618,102720,endothelin receptor type B [Source:MGI Symbol;Acc:MGI:102720]
18541,102722,pericentrin (kendrin) [Source:MGI Symbol;Acc:MGI:102722]
22019,102724,tripeptidyl peptidase II [Source:MGI Symbol;Acc:MGI:102724]
17749,102725,polymerase (RNA) II (DNA directed) polypeptide K [Source:MGI Symbol;Acc:MGI:102725]
100862456,102725,polymerase (RNA) II (DNA directed) polypeptide K [Source:MGI Symbol;Acc:MGI:102725]
102641086,102725,polymerase (RNA) II (DNA directed) polypeptide K [Source:MGI Symbol;Acc:MGI:102725]
13178,102726,deoxycytidine kinase [Source:MGI Symbol;Acc:MGI:102726]
14915,102738,guanylate cyclase activator 2a (guanylin) [Source:MGI Symbol;Acc:MGI:102738]
27632,102744,negative elongation factor complex member E Rdbp [Source:MGI Symbol;Acc:MGI:102744]
217069,102749,tripartite motif-containing 25 [Source:MGI Symbol;Acc:MGI:102749]
22724,102755,zinc finger and BTB domain containing 7B [Source:MGI Symbol;Acc:MGI:102755]
103964,102756,trypsin 5 [Source:MGI Symbol;Acc:MGI:102756]
22074,102757,trypsin 4 [Source:MGI Symbol;Acc:MGI:102757]
22073,102758,protease serine 3 [Source:MGI Symbol;Acc:MGI:102758]
22072,102759,protease serine 2 [Source:MGI Symbol;Acc:MGI:102759]
20845,102760,steroidogenic acute regulatory protein [Source:MGI Symbol;Acc:MGI:102760]
20600,102762,submaxillary gland androgen regulated protein 2 [Source:MGI Symbol;Acc:MGI:102762]
20599,102763,submaxillary gland androgen regulated protein 3A [Source:MGI Symbol;Acc:MGI:102763]
20473,102764,sine oculis-related homeobox 3 [Source:MGI Symbol;Acc:MGI:102764]
19275,102765,protein tyrosine phosphatase receptor type N [Source:MGI Symbol;Acc:MGI:102765]
17304,102768,milk fat globule-EGF factor 8 protein [Source:MGI Symbol;Acc:MGI:102768]
14913,102770,guanylate cyclase activator 1a (retina) [Source:MGI Symbol;Acc:MGI:102770]
14469,102772,guanylate binding protein 2 [Source:MGI Symbol;Acc:MGI:102772]
382053,102773,carboxylesterase 3A [Source:MGI Symbol;Acc:MGI:102773]
13722,102774,aminoacyl tRNA synthetase complex-interacting multifunctional protein 1 [Source:MGI Symbol;Acc:MGI:102774]
11767,102776,adaptor-related protein complex AP-1 mu subunit 1 [Source:MGI Symbol;Acc:MGI:102776]
20472,102778,sine oculis-related homeobox 2 [Source:MGI Symbol;Acc:MGI:102778]
14156,102779,flap structure specific endonuclease 1 [Source:MGI Symbol;Acc:MGI:102779]
20471,102780,sine oculis-related homeobox 1 [Source:MGI Symbol;Acc:MGI:102780]
21804,102784,transforming growth factor beta 1 induced transcript 1 [Source:MGI Symbol;Acc:MGI:102784]
20939,102785,seminal vesicle antigen [Source:MGI Symbol;Acc:MGI:102785]
19894,102788,rabphilin 3A [Source:MGI Symbol;Acc:MGI:102788]
19332,102789,RAB20 member RAS oncogene family [Source:MGI Symbol;Acc:MGI:102789]
19330,102790,RAB18 member RAS oncogene family [Source:MGI Symbol;Acc:MGI:102790]
19133,102791,peripherin 2 [Source:MGI Symbol;Acc:MGI:102791]
14314,102793,follistatin-like 1 [Source:MGI Symbol;Acc:MGI:102793]
11643,102794,A kinase (PRKA) anchor protein 4 [Source:MGI Symbol;Acc:MGI:102794]
234199,102795,fibrinogen-like protein 1 [Source:MGI Symbol;Acc:MGI:102795]
14081,102797,acyl-CoA synthetase long-chain family member 1 [Source:MGI Symbol;Acc:MGI:102797]
12495,102805,ectonucleoside triphosphate diphosphohydrolase 1 [Source:MGI Symbol;Acc:MGI:102805]
11480,102806,activin receptor IIA [Source:MGI Symbol;Acc:MGI:102806]
20226,102809,seryl-aminoacyl-tRNA synthetase [Source:MGI Symbol;Acc:MGI:102809]
109593,102810,LIM domain only 3 [Source:MGI Symbol;Acc:MGI:102810]
16909,102811,LIM domain only 2 [Source:MGI Symbol;Acc:MGI:102811]
109594,102812,LIM domain only 1 [Source:MGI Symbol;Acc:MGI:102812]
17868,102844,myosin binding protein C cardiac [Source:MGI Symbol;Acc:MGI:102844]
12062,102845,bradykinin receptor beta 2 [Source:MGI Symbol;Acc:MGI:102845]
16625,102848,serine (or cysteine) peptidase inhibitor clade A member 3C [Source:MGI Symbol;Acc:MGI:102848]
16621,102849,kallikrein B plasma 1 [Source:MGI Symbol;Acc:MGI:102849]
16612,102850,kallikrein 1 [Source:MGI Symbol;Acc:MGI:102850]
18609,102851,pancreatic and duodenal homeobox 1 [Source:MGI Symbol;Acc:MGI:102851]
13714,102853,ELK4 member of ETS oncogene family [Source:MGI Symbol;Acc:MGI:102853]
100503670,102854,ribosomal protein L5 [Source:MGI Symbol;Acc:MGI:102854]
14284,102858,fos-like antigen 2 [Source:MGI Symbol;Acc:MGI:102858]
13003,102889,versican [Source:MGI Symbol;Acc:MGI:102889]
12450,102890,cyclin G1 [Source:MGI Symbol;Acc:MGI:102890]
11513,102891,adenylate cyclase 7 [Source:MGI Symbol;Acc:MGI:102891]
20887,102896,sulfotransferase family 1A phenol-preferring member 1 [Source:MGI Symbol;Acc:MGI:102896]
18553,102897,proprotein convertase subtilisin/kexin type 6 [Source:MGI Symbol;Acc:MGI:102897]
110524,102918,diacylglycerol kinase theta [Source:MGI Symbol;Acc:MGI:102918]
20888,102928,sulfotransferase family cytosolic 1C member 1 [Source:MGI Symbol;Acc:MGI:102928]
20289,102934,scleraxis [Source:MGI Symbol;Acc:MGI:102934]
19009,102935,POU domain class 6 transcription factor 1 [Source:MGI Symbol;Acc:MGI:102935]
19009,102935,POU domain class 6 transcription factor 1 [Source:MGI Symbol;Acc:MGI:102935]
22210,102944,ubiquitin-conjugating enzyme E2B [Source:MGI Symbol;Acc:MGI:102944]
15218,102949,forkhead box N1 [Source:MGI Symbol;Acc:MGI:102949]
13139,102952,diacylglycerol kinase alpha [Source:MGI Symbol;Acc:MGI:102952]
12572,102956,cyclin-dependent kinase 7 [Source:MGI Symbol;Acc:MGI:102956]
22209,102959,ubiquitin-conjugating enzyme E2A [Source:MGI Symbol;Acc:MGI:102959]
22210,102959,ubiquitin-conjugating enzyme E2A [Source:MGI Symbol;Acc:MGI:102959]
22165,102960,TXK tyrosine kinase [Source:MGI Symbol;Acc:MGI:102960]
21743,102963,indolethylamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:102963]
20818,102964,signal recognition particle receptor B subunit [Source:MGI Symbol;Acc:MGI:102964]
20272,102965,sodium channel voltage-gated type VII alpha [Source:MGI Symbol;Acc:MGI:102965]
19214,102966,prostaglandin D receptor [Source:MGI Symbol;Acc:MGI:102966]
17773,102967,melatonin receptor 1A [Source:MGI Symbol;Acc:MGI:102967]
16634,102968,killer cell lectin-like receptor subfamily A member 8 [Source:MGI Symbol;Acc:MGI:102968]
16639,102968,killer cell lectin-like receptor subfamily A member 8 [Source:MGI Symbol;Acc:MGI:102968]
93968,102968,killer cell lectin-like receptor subfamily A member 8 [Source:MGI Symbol;Acc:MGI:102968]
14525,102969,germinal center associated signaling and motility [Source:MGI Symbol;Acc:MGI:102969]
226352,103006,erythrocyte protein band 4.1 like 5 [Source:MGI Symbol;Acc:MGI:103006]
13824,103007,erythrocyte protein band 4.1 like 4a [Source:MGI Symbol;Acc:MGI:103007]
13823,103008,erythrocyte protein band 4.1 like 3 [Source:MGI Symbol;Acc:MGI:103008]
13822,103009,erythrocyte protein band 4.1 like 2 [Source:MGI Symbol;Acc:MGI:103009]
13821,103010,erythrocyte protein band 4.1 like 1 [Source:MGI Symbol;Acc:MGI:103010]
12775,103011,chemokine (C-C motif) receptor 7 [Source:MGI Symbol;Acc:MGI:103011]
104394,103012,E2F transcription factor 4 [Source:MGI Symbol;Acc:MGI:103012]
12288,103013,calcium channel voltage-dependent L type alpha 1C subunit [Source:MGI Symbol;Acc:MGI:103013]
16168,103014,interleukin 15 [Source:MGI Symbol;Acc:MGI:103014]
19045,103016,protein phosphatase 1 catalytic subunit alpha isoform [Source:MGI Symbol;Acc:MGI:103016]
14132,103017,Fc receptor IgG alpha chain transporter [Source:MGI Symbol;Acc:MGI:103017]
20965,103020,synapsin II [Source:MGI Symbol;Acc:MGI:103020]
19691,103021,RecQ protein-like [Source:MGI Symbol;Acc:MGI:103021]
19699,103022,reelin [Source:MGI Symbol;Acc:MGI:103022]
17827,103025,metaxin 1 [Source:MGI Symbol;Acc:MGI:103025]
21357,103027,TAR (HIV) RNA binding protein 2 [Source:MGI Symbol;Acc:MGI:103027]
20255,103032,secretogranin III [Source:MGI Symbol;Acc:MGI:103032]
20254,103033,secretogranin II [Source:MGI Symbol;Acc:MGI:103033]
20852,103034,signal transducer and activator of transcription 6 [Source:MGI Symbol;Acc:MGI:103034]
20851,103035,signal transducer and activator of transcription 5B [Source:MGI Symbol;Acc:MGI:103035]
20850,103036,signal transducer and activator of transcription 5A [Source:MGI Symbol;Acc:MGI:103036]
20848,103038,signal transducer and activator of transcription 3 [Source:MGI Symbol;Acc:MGI:103038]
20847,103039,signal transducer and activator of transcription 2 [Source:MGI Symbol;Acc:MGI:103039]
20163,103040,Ras suppressor protein 1 [Source:MGI Symbol;Acc:MGI:103040]
13601,103060,extracellular matrix protein 1 [Source:MGI Symbol;Acc:MGI:103060]
20849,103062,signal transducer and activator of transcription 4 [Source:MGI Symbol;Acc:MGI:103062]
20846,103063,signal transducer and activator of transcription 1 [Source:MGI Symbol;Acc:MGI:103063]
13205,103064,DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3 X-linked [Source:MGI Symbol;Acc:MGI:103064]
22589,103067,alpha thalassemia/mental retardation syndrome X-linked homolog (human) [Source:MGI Symbol;Acc:MGI:103067]
14961,103070,histocompatibility 2 class II antigen A beta 1 [Source:MGI Symbol;Acc:MGI:103070]
19387,103071,RAN GTPase activating protein 1 [Source:MGI Symbol;Acc:MGI:103071]
22793,103072,zyxin [Source:MGI Symbol;Acc:MGI:103072]
22786,103073,zona pellucida glycoprotein 1 [Source:MGI Symbol;Acc:MGI:103073]
22390,103075,WEE 1 homolog 1 (S. pombe) [Source:MGI Symbol;Acc:MGI:103075]
